"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1966738796046938428","Sat Sep 13 05:41:08 +0000 2025","0","PRE ORDER MD AESPA I AM A RICH MAN OFFICIAL ⭕️BISA CICILAN DP MAKSIMAL 30 SEPTEMBER UDAH LUNAS⭕️ TRADING CARD 77K || DP 60K RICH MAN DOLL 210K || DP 180K RANDOM EPOXY KEYRING 60K || DP 30K RANDOM GUITAR PICK KEYRING 90K || DP 60K RANDOM CUSHION KEYRING 110K || DP https://t.co/deuJI8w4HM","1966738900162146392","https://pbs.twimg.com/media/G0tCmi2aUAAqdst.jpg","nanaduuungies","in","","0","1","0","https://x.com/undefined/status/1966738900162146392","1545874099",
"1966738796046938428","Sat Sep 13 05:40:43 +0000 2025","0","PRE ORDER MD AESPA I AM A RICH MAN OFFICIAL ⭕️BISA CICILAN DP MAKSIMAL 30 SEPTEMBER UDAH LUNAS⭕️ TRADING CARD 77K || DP 60K RICH MAN DOLL 210K || DP 180K RANDOM EPOXY KEYRING 60K || DP 30K RANDOM GUITAR PICK KEYRING 90K || DP 60K RANDOM CUSHION KEYRING 110K || DP https://t.co/xwbpj0v4I9","1966738796046938428","https://pbs.twimg.com/media/G0tCgVcbcAACvfD.jpg","","in","","0","1","0","https://x.com/undefined/status/1966738796046938428","1545874099",
"1961342295774732760","Sat Sep 13 05:13:43 +0000 2025","0","@ziselle Sayangnya kamu masih harus comeback ke sekian kali dd. Tapi gakpapa dinikmati sebelum nanti mencar-mencar kasihan MYs gak sih? :(( wow selera musik dd manly banget ya kalau dilihat-lihat? Lagu favorit di antara mereka apa aja dd? Memang aespa suka yang viral viral yaa?","1966732001030951042","","ziselle","in","","0","0","0","https://x.com/undefined/status/1966732001030951042","1206065032158539776",
"1966506981826437621","Sat Sep 13 05:13:09 +0000 2025","7","@itemputi @midyous @yourfavhrul @yeyeye2699 @espiraculonaran padahal aespa naik tahun lalu juga karna huru hara hybe yang mention nama mereka belom lagi tiba2 deket sama newjeans sekarang mah boro boro support mention pun gak. SM pinter emang gunain moment","1966731856981741667","","itemputi","in","","0","3","1","https://x.com/undefined/status/1966731856981741667","1458498098",
"1966731802724163741","Sat Sep 13 05:12:56 +0000 2025","0","manifesting harga tiket aespa sama kayak tbz ️","1966731802724163741","","","in","","0","0","0","https://x.com/undefined/status/1966731802724163741","1625148130638569473",
"1966731672537248014","Sat Sep 13 05:12:25 +0000 2025","0","Akhirnya dpt gitarrrr aespa https://t.co/H853fsgpDE","1966731672537248014","https://pbs.twimg.com/media/G0s8BzObwAANxCE.jpg","","in","","0","1","0","https://x.com/undefined/status/1966731672537248014","2589931452",
"1966096970919055830","Sat Sep 13 05:12:08 +0000 2025","0","59. jadi monyet koket + cute typing sebulan. 60. dirgay. 61. ga. Kalo terindah gabakal jadi mantan. Udah gua nikahin. 62. jaja. 63. ya. asal pada tau diri. 64. mantan gua udah pada lrp. 65. @aespa_official 66. ga ada. 67. ga ada. 68. ga punya ayang. 69. gaada. 70. ∞/100.","1966731601301389409","","xrigadir","in","","0","1","0","https://x.com/undefined/status/1966731601301389409","1549684921111056384",
"1966730864236363993","Sat Sep 13 05:09:12 +0000 2025","0","bejir yg aespa udh kah eventnya ?","1966730864236363993","","","in","","0","0","0","https://x.com/undefined/status/1966730864236363993","1829694605304217600",
"1966730713220124701","Sat Sep 13 05:08:36 +0000 2025","0","yeeee asu ada yg report gw di map aespa. ava cewe salah ava cowo salah pntek ;V","1966730713220124701","","","in","","0","0","0","https://x.com/undefined/status/1966730713220124701","1343201881124847618",
"1966730319501160761","Sat Sep 13 05:07:02 +0000 2025","0","Ada yang punya au giselle aespa sama jaemin ngga??","1966730319501160761","","","in","","0","1","0","https://x.com/undefined/status/1966730319501160761","1364942932390871046",
"1966730018337501362","Sat Sep 13 05:05:51 +0000 2025","0","Biasanya abis panen hujatan gini ada aja yang bikin bangga dari aespa entah menang awards atau chart lagunya bagus. Semoga aespa banyak bawa piala di awards nanti biar yg iri makin iri ","1966730018337501362","","","in","","0","0","0","https://x.com/undefined/status/1966730018337501362","1101837151279316993",
"1966729910061593075","Sat Sep 13 05:05:25 +0000 2025","1","Tpi mmng hrus disadari kelemahan aespa ni mmng lemah bgt si di dance idk mmng bneran slalu kliatan kosong &amp; gk balance stu sama lain. Mngkin tu jg alasan SM blajar dri kesalahan trus debutin h2h dgn skill koreografi yg lebi matang.","1966729910061593075","","","in","","0","0","0","https://x.com/undefined/status/1966729910061593075","1838461061143625728",
"1966729893380600153","Sat Sep 13 05:05:21 +0000 2025","0","Aku udah nunggu sejam di the blok malah hotspot mati pas aespa bru mulai fashion","1966729895377334735","","Thankgs","in","","0","1","0","https://x.com/undefined/status/1966729895377334735","1503563878210281475",
"1966729470762787105","Sat Sep 13 05:03:40 +0000 2025","0","GINI DESAIN MD KAOS LU BISA BAGUS ANYING @aespa_official @SMTOWNGLOBAL ","1966729470762787105","","","in","","0","0","0","https://x.com/undefined/status/1966729470762787105","1811833128887156738",
"1966729100200149172","Sat Sep 13 05:02:12 +0000 2025","0","MAP AESPA LUFU BGT","1966729100200149172","","","in","","0","0","0","https://x.com/undefined/status/1966729100200149172","1529070457890037760",
"1966728987608318346","Sat Sep 13 05:01:45 +0000 2025","7","ini mah yg diinginkan sf si paling paham seisi dunia tiap aespa cb","1966728987608318346","","","in","","0","0","0","https://x.com/undefined/status/1966728987608318346","1376476814189600769",
"1966721579112600035","Sat Sep 13 05:01:08 +0000 2025","0","@ssriize_ Dalam Islam pendapat ulama soal musik bervariasi: sebagian melarang total tapi banyak yang izinkan selama kontennya tak ajak maksiat atau syirik. Lagu Armageddon aespa lebih ke fiksi hiburan bukan nubuat agama jadi nggak langsung bertentangan dengan Allah asal nggak ganggu","1966728831722823873","","ssriize_","in","","0","1","0","https://x.com/undefined/status/1966728831722823873","1720665183188922368",
"1966728764940836971","Sat Sep 13 05:00:52 +0000 2025","5","!Roblox X aespa yeokshii uri richman letsgo gaiss ikutan event nya dan dapetin item gratis nyaa cara nya gampang banget tinggal like dan favoritin map nya dan ikut acara nyaa banyak item2 official juga yg bisa kalian coba2 di dalam map https://t.co/4okyG0kjSm","1966728764940836971","https://pbs.twimg.com/media/G0s5Y6mWwAAdVSI.jpg","","in","","0","3","0","https://x.com/undefined/status/1966728764940836971","1903872646678470656",
"1966721579112600035","Sat Sep 13 04:58:39 +0000 2025","0","@ssriize_ Wah aku paham kenapa kamu benci lagunya judul Armageddon memang mirip istilah akhir zaman seperti Yajuj Majuj (Gog Magog). Tapi dari liriknya ini lebih ke cerita fiksi aespa soal alam semesta paralel dan tantangan bukan nubuat Islam. Kalau bikin gelisah yuk bahas lebih","1966728208184996352","","ssriize_","in","","0","1","0","https://x.com/undefined/status/1966728208184996352","1720665183188922368",
"1966726826278981679","Sat Sep 13 04:53:10 +0000 2025","0","Map aespa lucu lucu bgt lagi orangnya wkwkwkwkwk","1966726826278981679","","","in","","0","0","0","https://x.com/undefined/status/1966726826278981679","1660663130492669954",
"1966726291815588084","Sat Sep 13 04:51:02 +0000 2025","0","Heran gue takut bgt oppak oppak lu semua kaga punya karir apa gimana si? dikit dikit komenin blackpink aespa snsd 2ne1 mulu","1966726291815588084","","","in","","0","0","0","https://x.com/undefined/status/1966726291815588084","829617533237866501",
"1966726051561623634","Sat Sep 13 04:50:05 +0000 2025","0"," hulhul bestie LEZGOW YUK JOIN - GO khusus AESPA my by @katayinebluu Sharing by Chi yukk https://t.co/vxSxKaQzEX - dom JOGJA - linkDIBAWAH ya","1966726051561623634","","","in","","0","0","0","https://x.com/undefined/status/1966726051561623634","986808966121336832",
"1966725926193942818","Sat Sep 13 04:49:35 +0000 2025","0","di konser mungkin yaaa dibikin kek aespa ada solo stage nya mungkin","1966725926193942818","","","in","","0","1","0","https://x.com/undefined/status/1966725926193942818","1267798617517027333",
"1966725404644782147","Sat Sep 13 04:47:31 +0000 2025","0","dpt gitar dari aespa https://t.co/X9KJbmgyS0","1966725404644782147","https://pbs.twimg.com/media/G0s2VS_bcAEW2JS.jpg","","in","","0","0","0","https://x.com/undefined/status/1966725404644782147","1753098198581903360",
"1966724803789791685","Sat Sep 13 04:45:07 +0000 2025","7","Nothing mnurut gw choreonya udah bgus tapi aespa emg kelihatan kosong klo perform tanpa back dancer","1966724803789791685","","","in","","0","0","0","https://x.com/undefined/status/1966724803789791685","1829486911641264129",
"1965743544360194276","Sat Sep 13 04:44:04 +0000 2025","0","@Ningninb nggak akaaan! janji engenes baik hati dan imut imut kayak kakak aespa ciyus. habis balik dari amrik samperin aku buat challenge rich man ya kalau gitu? :]","1966724536344473902","","Ningninb","in","","0","0","0","https://x.com/undefined/status/1966724536344473902","1137257020145295361",
"1966724451128799444","Sat Sep 13 04:43:43 +0000 2025","0","[OPEN PO] Pre Order AESPA - RICH MAN POP UP IN SEOUL OFFICIAL MERCH MD Harga: a4 photo* - 150k dp 100k 4x6 photo set - 150k dp 100k random TC A/B - 90k dp 50k postcars hologram photocard set* - 155k dp 100k pin button set* - 170k dp 120k hairpin set* - https://t.co/2KYN0XVpRQ","1966724451128799444","https://pbs.twimg.com/media/G0s1dXnbcAAjFb7.jpg","","in","","0","0","0","https://x.com/undefined/status/1966724451128799444","1799344669190676480",
"1966671280955928736","Sat Sep 13 04:42:57 +0000 2025","1","@chesechocho @txtFromRoblox bisa sebelum jam 12 nanti masuk mapnya aespa trus nanti ada countdown dan tunggu aja sampe fashion shownya selesai","1966724257209090056","","chesechocho","in","","0","2","0","https://x.com/undefined/status/1966724257209090056","1718613861748887552",
